null null null Two numbers are in the ratio [a] to [b] . If the sum of numbers is [c] , find the numbers . null null null	[b]*VAR_0=[a]*VAR_1,VAR_0+VAR_1=[c]	{'[a]': '8.0', '[b]': '3.0', '[c]': '143.0'}	[39.0,104.0]
null null null [a] trains leave simultaneously traveling on the same track in opposite directions at speeds of [b] and [c] miles per hour . How many hours will it take before they are [d] miles apart ? null null null	([b]*VAR_0)+([c]*VAR_0)=[d]	{'[a]': '2.0', '[b]': '50.0', '[c]': '64.0', '[d]': '285.0'}	[2.5]
null null null Find two numbers whose sum is [a] if one number is [b] times as large as the other number. null null null	VAR_0+VAR_1=[a],VAR_0=[b]*VAR_1	{'[a]': '14.0', '[b]': '3.0'}	[3.5,10.5]
null null null Tickets at a local theater cost [a] dollars for adults and [b] dollars dollars for kids under twelve . If [c] tickets were sold and the profit was [d] dollars , how many kid tickets were sold ? null null null	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '6.0', '[b]': '2.0', '[c]': '175.0', '[d]': '750.0'}	[75.0]
null null null [a] people go to a zoo . Tickets are [b] dollars for adults and [c] dollars for kids . Total sales are [d] dollars . How many adults went to zoo ? How many kids ? null null null	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '254.0', '[b]': '28.0', '[c]': '12.0', '[d]': '3864.0'}	[51.0,203.0]
null null null The St . Mark 's Community Barbecue served [a] dinners . A child 's plate cost [b] dollars and an adult 's plate cost [c] dollars . A total of [d] dollars was collected . How many child 's plates were served ? How many adult 's plates were served ? null null null	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '250.0', '[b]': '3.5', '[c]': '7.0', '[d]': '1347.5'}	[115.0,135.0]
null null null Wal-Mart sells thermometers for [a] dollars, and hot-water bottles for [b] dollars . Total sales for these [a] items during the month of January was [c] dollars . There were [d] times as many thermometers as hot-water bottles sold . How many thermometers were sold ? How many hot-water bottles ? null null null	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_1=[d]*VAR_0	{'[a]': '2.0', '[b]': '6.0', '[c]': '1200.0', '[d]': '7.0'}	[420.0,60.0]
null null null A [a] % acid solution and a [b] % acid solution must be mixed to produce [c] liters of a [d] % acid solution . How many liters of [a] % acid solution should be used ? How many liters of [b] % acid solution should be used ? null null null	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*[c],VAR_1+VAR_0=[c]	{'[a]': '40.0', '[b]': '55.0', '[c]': '60.0', '[d]': '45.0'}	[40.0,20.0]
null null null Suppose you invested [a] dollars , part at [b] % annual interest and the rest at [c] % annual interest . If you received [d] dollars in interest after one year , how much did you invest at [b] % annual interest and at [c] % annual interest ? null null null	([b]*.01*VAR_1)+([c]*.01*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '10000.0', '[b]': '6.0', '[c]': '9.0', '[d]': '684.0'}	[7200.0,2800.0]
null null null A recipe calls for [a] cups of sugar . You find that you only have [b] cups of sugar left . What fraction of the recipe can you make ? null null null	VAR_0=[b]/[a]	{'[a]': '2.0', '[b]': '0.3333'}	[0.165]
null null null Tickets to a local movie were sold at [a] dollars for adults and [b] dollars for students . If [c] tickets were sold for a total of [d] dollars , how many student tickets were sold ? null null null	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '4.0', '[b]': '2.5', '[c]': '59.0', '[d]': '222.5'}	[9.0]
null null null [a] of Joe 's income each month goes to taxes . If she pays [b] dollars in taxes each month , what is her monthly income in dollars ? null null null	[a]*VAR_0=[b]	{'[a]': '0.4', '[b]': '848.0'}	[2120.0]
null null null Jordan 's salary is [a] dollars a month plus a [b] % commission on all of his sales . What must the amount of his sales be , in dollars , for him to earn at least [c] dollars each month ? null null null	[a]+([b]*0.01*VAR_0)=[c]	{'[a]': '1250.0', '[b]': '5.0', '[c]': '1500.0'}	[5000.0]
null null null A petroleum company has two different sources of crude oil . The first source provides crude oil that is [a] % hydrocarbons and the second one provides crude oil that is [b] % hydrocarbons . In order to obtain [c] gallons of crude oil that is [d] % hydrocarbons , how many gallons of crude oil must be used from each of the two sources ? null null null	(([a]*0.01)*VAR_0)+(([b]*0.01)*VAR_1)=([c]*[d])*0.01,VAR_0+VAR_1=[c]	{'[a]': '25.0', '[b]': '75.0', '[c]': '50.0', '[d]': '55.0'}	[20.0,30.0]
null null null Steve has [a] coins consisting of dimes and nickels . If the value of the coins is [b] dollars , then how many dimes does he have ? null null null	(0.05*VAR_1)+(0.1*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '36.0', '[b]': '3.1'}	[26.0]
null null null The selling price of a pair of pants is [a] dollars . If the store paid [b] dollars less for the pants , find the price that the store paid , in dollars . null null null	VAR_0=[a]-[b]	{'[a]': '34.0', '[b]': '8.0'}	[26.0]
null null null A [a] % sugar solution is added to an [b] % sugar solution to create [c] milliliters of a [d] % solution . How many milliliters of the [a] % solution should be used ? How many millileters of the [b] % solution ? null null null	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*([c]),VAR_1+VAR_0=[c]	{'[a]': '40.0', '[b]': '85.0', '[c]': '1800.0', '[d]': '60.0'}	[1000.0,800.0]
null null null A department store held a sale to sell all of the [a] winter jackets that remained after the season ended . Until noon , each jacket in the store was priced at [b] dollars . At noon , the price of the jackets was further reduced to [c] dollars . After the last jacket was sold , the total receipts for the clearance sale were [d] dollars . How many jackets were sold before noon and how many jackets were sold after noon ? null null null	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '214.0', '[b]': '31.95', '[c]': '18.95', '[d]': '5108.3'}	[81.0,133.0]
null null null The sum of [a] of a number and two is eight . Find the number . null null null	([a]*VAR_0)+2.0=8.0	{'[a]': '0.75'}	[8.0]
null null null The sum of [a] numbers is [b] . [c] times one of the numbers is [d] less than [e] times the other . What is the smaller number ? What is the larger number ? null null null	[c]*VAR_0=([e]*VAR_1)-[d],VAR_0+VAR_1=[b]	{'[a]': '2.0', '[b]': '15.0', '[c]': '3.0', '[d]': '11.0', '[e]': '5.0'}	[7.0,8.0]
null null null [a] less than [b] times a number equals [c] . What is the number ? null null null	([b]*VAR_0)-[a]=[c]	{'[a]': '7.0', '[b]': '4.0', '[c]': '13.0'}	[5.0]
null null null A bricklayer lays an average of [a] bricks per hour . During a job , he is called away and replaced by a less experienced man , who averages [b] bricks per hour . The two men laid [c] bricks in [d] hours . How long did each work ? null null null	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0+VAR_1=[d]	{'[a]': '150.0', '[b]': '120.0', '[c]': '930.0', '[d]': '7.0'}	[3.0,4.0]
null null null The Drama Club sold [a] tickets for the end-of-year-performance . Admission prices were [b] dollars for adults and [c] dollars for students . The total amount collected at the box office was [d] dollars . How many students attended the play ? How many adult attended the play ? null null null	([c]*VAR_1)+([b]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '1500.0', '[b]': '12.0', '[c]': '6.0', '[d]': '16200.0'}	[300.0]
null null null The number of boys in eighth grade is [a] less than twice the number of girls . There are [b] students in eighth grade . How many are girls ? null null null	(2.0*VAR_1)-[a]=VAR_0,VAR_1+VAR_0=[b]	{'[a]': '16.0', '[b]': '68.0'}	[28.0]
null null null The sum of [a] numbers is [b] . Twice the larger number exceeds [c] times the smaller number by [d] . Find the number. null null null	[a]*VAR_0=[d]+([c]*VAR_1),VAR_1+VAR_0=[b]	{'[a]': '2.0', '[b]': '43.0', '[c]': '3.0', '[d]': '16.0'}	[14.0,29.0]
null null null It took me [a] minutes to walk [b] meters . How fast was I travelling ? null null null	VAR_0=[b]/[a]	{'[a]': '6.0', '[b]': '500.0'}	[83.33]
null null null Paul has [a] postcards . He has [b] times as many large postcards as small postcards . How many small postcards does he have ? How many large postcards ? null null null	VAR_1+VAR_0=[a],VAR_0=[b]*VAR_1	{'[a]': '30.0', '[b]': '4.0'}	[6.0,24.0]
null null null Student tickets cost [a] dollars and general admission tickets cost [b] dollars . You sell [c] tickets and collect [d] dollars . How many student tickets did you sell ? How many general admission tickets did you sell ? null null null	([a]*VAR_1)+([b]*VAR_0)=[d],VAR_1+VAR_0=[c]	{'[a]': '4.0', '[b]': '6.0', '[c]': '525.0', '[d]': '2876.0'}	[137.0,388.0]
null null null The total cost of a pair of pants and a belt was [a] dollars . If the price of the pair of pants was [b] dollars less than the belt , what was the price of the pair of pants ? null null null	VAR_0+VAR_1=[a],VAR_1=VAR_0-[b]	{'[a]': '70.93', '[b]': '2.93'}	[34.0]
null null null A merchant wants to combine peanuts selling [a] dollars per pound and cashews selling for [b] dollars per pound to form [c] pounds which will sell at [d] dollars per pound . What amount of peanuts and what amount of cashews must be used ? null null null	([a]*VAR_1)+([b]*VAR_0)=[c]*[d],VAR_1+VAR_0=[c]	{'[a]': '2.4', '[b]': '6.0', '[c]': '60.0', '[d]': '3.0'}	[50.0,10.0]
null null null Marco has [a] coins , all nickels and dimes . He has [b] more dimes than nickels . How many nickels and how many dimes does he have ? null null null	[b]+VAR_1=VAR_0,VAR_0+VAR_1=[a]	{'[a]': '150.0', '[b]': '12.0'}	[69.0,81.0]
null null null A farmer grows only sunflowers and flax on his [a] acre farm . This year he wants to plant [b] more acres of sunflowers than flax . How many acres of sunflowers does the farmer need to plant ? How many acres of flax ? null null null	VAR_1+VAR_0=[a],VAR_1=[b]+VAR_0	{'[a]': '240.0', '[b]': '80.0'}	[160.0,80.0]
null null null [a] high speed trains are [b] miles apart and traveling toward each other . They meet in [c] hours . If one train is [d] miles per hour faster than the other , find the speed of the slower train in miles per hour . Find the speed of the faster train . null null null	([c]*VAR_1)+([c]*VAR_0)=[b],[d]+VAR_1=VAR_0	{'[a]': '2.0', '[b]': '380.0', '[c]': '4.0', '[d]': '15.0'}	[40.0,55.0]
null null null [a] is divided in two parts such that [b] time the first part added to [c] times the second part makes [d] . What is the first part ? null null null	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '24.0', '[b]': '7.0', '[c]': '5.0', '[d]': '146.0'}	[13.0]
null null null You had [a] dollars to spend and purchased [b] sets of dishes . If you spent everything , how many [c] dollars sets did you purchase ? How many [d] dollars sets did you purchase ? null null null	([c]*VAR_1)+([d]*VAR_0)=[a],VAR_1+VAR_0=[b]	{'[a]': '6800.0', '[b]': '250.0', '[c]': '20.0', '[d]': '45.0'}	[178.0,72.0]
null null null During a 4th of July weekend , [a] vehicles became trapped on the Sunshine Skyway Bridge while it was being repaved . A recent city ordinance decreed that only cars with [b] wheels and trucks with six wheels could be on the bridge at any given time . If there were [c] tires that needed to be replaced to due to damage , how many cars and trucks were involved in the incident ? null null null	([b]*VAR_0)+(6.0*VAR_1)=[c],VAR_0+VAR_1=[a]	{'[a]': '32.0', '[b]': '4.0', '[c]': '148.0'}	[22.0,10.0]
null null null There are [a] animals total , all sheep and chickens . If there are [b] legs total , how many of the [a] animals are sheep ? How many are chickens ? null null null	(4.0*VAR_1)+(2.0*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '21.0', '[b]': '56.0'}	[7.0,14.0]
null null null Arthur bought [a] hamburgers and [b] hot dogs for [c] dollars . The next day , he bought [d] hamburgers and [a] hot dogs for [e] dollars . How much does a hot dog cost ? null null null	([a]*VAR_0)+([b]*VAR_1)=[c],([d]*VAR_0)+([a]*VAR_1)=[e]	{'[a]': '3.0', '[b]': '4.0', '[c]': '10.0', '[d]': '2.0', '[e]': '7.0'}	[1.0]
null null null An auditorium has [a] balcony seats and [b] main-level seats . If tickets for balcony seats will cost [c] dollars less than tickets for main-level seats , what should the prices be for the main-level seats and prices for the balcony seats , so that the total revenue from a sellout performance will be [d] ? null null null	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0=VAR_1-[c]	{'[a]': '500.0', '[b]': '1800.0', '[c]': '15.0', '[d]': '84500.0'}	[40.0,25.0]
null null null E-Chem Testing has a solution that is [a] % base and another that is [b] % base . A technician needs [c] liters of a solution that is [d] % base . The [c] liters will be prepared by mixing the two solutions on hand . How much of the [a] % base and the [b] % base should be used ? null null null	[a]*0.01*VAR_0+[b]*0.01*VAR_1=[d]*0.01*[c],VAR_0+VAR_1=[c]	{'[a]': '80.0', '[b]': '30.0', '[c]': '150.0', '[d]': '62.0'}	[96.0,54.0]
null null null One year Walt invested [a] dollars . He invested part of the money at [b] % and the rest at [c] % . He made a total of [d] dollars in interest . How much was invested at [b] % ? null null null	(([b]*0.01)*VAR_1)+(([c]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '12000.0', '[b]': '7.0', '[c]': '9.0', '[d]': '970.0'}	[5500.0]
null null null The cost of [a] gallons of regular gasoline and [b] gallons of premium gasoline is [c] dollars . Premium costs [d] dollars more per gallon than regular . What is the cost per gallon of each type of gasoline ? null null null	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_0=[d]+VAR_1	{'[a]': '12.0', '[b]': '18.0', '[c]': '44.46', '[d]': '0.22'}	[1.35,1.57]
null null null To make a weak solution of [a] liters of [b] % acid , a lab technician will use some premixed solutions : one is [c] % acid and the other is [d] % acid . How many liters of each , respectively , should he use to obtain the desired solution ? null null null	[c]*0.01*VAR_1+[d]*0.01*VAR_0=[b]*0.01*[a],VAR_1+VAR_0=[a]	{'[a]': '24.0', '[b]': '4.0', '[c]': '2.0', '[d]': '5.0'}	[8.0,16.0]
null null null Ilida went to Minewaska Sate Park one day this summer . All of the people at the park were either hiking or bike riding . There were [a] more hikers than bike riders . If there were a total of [b] people at the park , how many were hiking ? How many were riding their bikes ? null null null	VAR_1+VAR_0=[b],VAR_1=[a]+VAR_0	{'[a]': '178.0', '[b]': '676.0'}	[427.0,249.0]
null null null Soybean meal is [a] % protein ; cornmeal is [b] % protein . How many pounds of each should be mixed together in order to get a 320-pound mixture that is [c] % protein ? null null null	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=(320.0*[c])*0.01,VAR_1+VAR_0=320.0	{'[a]': '16.0', '[b]': '8.0', '[c]': '13.0'}	[200.0,120.0]
null null null In a class of [a] students the number of girls is [b] of the number of boys . Find the number of girls in the class. null null null	[b]*VAR_0=VAR_1,VAR_0+VAR_1=[a]	{'[a]': '35.0', '[b]': '0.4'}	[10.0]
null null null The number of grocery items on two grocery lists differs by [a] . The total number of items is [b] . How many items are on each list ? null null null	VAR_0+VAR_1=[b],VAR_0-VAR_1=[a]	{'[a]': '7.0', '[b]': '33.0'}	[13.0,20.0]
null null null A baseball team has home games on Wednesday and Saturday . The two games together earn [a] dollars for the team . Wednesdays game generates [b] dollars less than Saturdays game . How much money was taken in at Wednesday 's game ? How much money was taken in at Saturday 's game ? null null null	VAR_1+VAR_0=[a],VAR_1=VAR_0-[b]	{'[a]': '5182.5', '[b]': '142.5'}	[2520.0,2662.5]
null null null The Coffee Counter charges [a] dollars per pound for Kenyan French Roast coffee and [b] dollars per pound for Sumatran coffee . How many pounds of Kenyan French Roast and Sumatran should be used to make a 20-pound blend that sells for [c] dollars per pound ? null null null	([a]*VAR_0)+([b]*VAR_1)=20.0*[c],VAR_0+VAR_1=20.0	{'[a]': '9.0', '[b]': '8.0', '[c]': '8.4'}	[8.0,12.0]
null null null A concert sells out a [a] seat arena . Main seat tickets cost [b] dollars , and back seat tickets for [c] dollars . The concert made [d] dollars . How many main seat tickets and back seat tickets were sold ? null null null	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '20000.0', '[b]': '55.0', '[c]': '45.0', '[d]': '955000.0'}	[5500.0,14500.0]
null null null A high school graduating class is made up of [a] students . There are [b] more girls than boys . How many boys are in the class ? null null null	VAR_0+VAR_1=[a],VAR_0=VAR_1-[b]	{'[a]': '485.0', '[b]': '69.0'}	[208.0]
null null null [a] Pairs of jeans and [b] shirts costs [c] dollars . The cost of [d] jeans and [e] shirts is [f] dollars . Find the cost of each pair of jeans and each shirt. null null null	([a]*VAR_0)+([b]*VAR_1)=[c],([d]*VAR_0)+([e]*VAR_1)=[f]	{'[a]': '3.0', '[b]': '6.0', '[c]': '104.25', '[d]': '4.0', '[e]': '5.0', '[f]': '112.15'}	[16.85,8.95]
