a test worth 100.0 points and containing	yes
points and containing 40.0 questions . There	yes
. There are 2.0 point and 4.0	yes
2.0 point and 4.0 point questions on	yes
? How many 4.0 point questions ?	yes
She has a 25.0 % copper solution	yes
solution and a 50.0 % copper solution	yes
milliliters of the 25.0 % solution and	yes
% solution and 50.0 % solution should	yes
mix to make 1000.0 milliliters of a	yes
milliliters of a 45.0 % solution ?	yes
Johnson Farm has 500.0 acres of land	yes
and wheat is 42.0 dollars for corn	yes
for corn and 30.0 dollars for wheat	yes
. He paid 4.91 dollars . On	yes
. She paid 7.59 dollars . What	yes
Hockey teams receive 2.0 points for a	yes
a win and 1.0 point for a	yes
a championship with 60.0 points . They	yes
. They won 9.0 more games than	yes
The sum of 2.0 numbers is 84.0	no
2.0 numbers is 84.0 . One number	yes
One number is 3.0 times the other	yes
a total of 104.0 dollars . Admission	yes
Admission prices are 6.0 dollars for adults	yes
for adults and 4.0 dollars for children	yes
. You sold 21.0 tickets . How	yes
A student works 2.0 part-time jobs .	no
. He earns 8.0 dollars an hour	yes
college library and 15.0 dollars and hour	yes
his work to 25.0 hours a week	yes
still earn at 300.0 dollars a week	yes
, part at 18.0 % and part	yes
and part at 4.0 % . If	yes
he invest at 18.0 % ? How	yes
How much at 4.0 % ? null	yes
The difference between 2.0 times a number	yes
a number and -8.0 is -12.0 .	no
and -8.0 is -12.0 . Find the	no
Colored copies cost 10.0 cents per copy	yes
white copies cost 5.0 cents per copy	yes
. Sandy made 400.0 copies , some	yes
total bill was 22.5 dollars . How	yes
null null null 193.0 tickets were sold	yes
the Class of 2003.0 ice cream picnic	no
student ticket costs 0.5 dollars each ,	yes
non-student ticket costs 1.5 dollars each .	yes
A total of 206.5 dollars was collected	yes
two numbers is 104.0 . The larger	yes
larger number is 1.0 less than twice	yes
null null null 3.0 times a number	yes
is added to 5.0 times a number	yes
number to get 54.0 . The second	yes
second number is 2.0 less than the	yes
two numbers is 3.0 . Their sum	yes
Their sum is 13.0 . Find the	yes
. Eldora bought 15.0 boxes of paper	yes
paper clips and 7.0 packages of index	yes
total cost of 55.4 dollars . Finn	yes
. Finn bought 12.0 boxes of paper	yes
paper clips and 10.0 packages of index	yes
total cost of 61.7 dollars . Find	yes
one that costs 4.0 dollars per kilogram	yes
another that costs 2.0 dollars per kilogram	yes
needed to make 20.0 kilograms of a	yes
a blend worth 2.5 dollars per kilogram	yes
daily rate of 17.99 dollars plus 0.18	yes
17.99 dollars plus 0.18 per mile .	yes
basic car at 18.95 dollars plus 0.16	yes
18.95 dollars plus 0.16 per mile .	yes
The sum of 38.0 and twice a	yes
a number is 124.0 . Find the	yes
the money yields 10.0 percent interest per	yes
the rest yields 8.0 percent interest per	yes
this investment is 256.0 dollars , how	yes
Pat invest at 10.0 percent and how	yes
how much at 8.0 percent ? null	yes
null kevin bought 3.0 muffins and a	yes
juice that cost 1.45 dollars . He	yes
a total of 3.7 dollars . How	yes
null null If 4.0 apples and 2.0	yes
4.0 apples and 2.0 oranges equals 1.0	yes
2.0 oranges equals 1.0 dollars and 2.0	yes
1.0 dollars and 2.0 apples and 3.0	yes
2.0 apples and 3.0 orange equals 0.7	yes
3.0 orange equals 0.7 dollars , how	yes
A motorist drove 2.0 hours at one	yes
and then for 3.0 hours at another	yes
a distance of 252.0 kilometers . If	yes
he had travelled 4.0 hours at the	yes
first speed and 1.0 hour at the	yes
would have covered 244.0 kilometers . Find	yes
null null A 12.0 ounce can of	yes
juice sells for 84.0 cents . Give	yes
one airplane averages 400.0 miles per hour	yes
and the other 250.0 miles per hour	yes
between them be 1625.0 miles ? null	yes
null Lakota bought 6.0 new compact disks	yes
compact disks and 2.0 used compact disks	yes
compact disks for 127.92 dollars . At	yes
, Mackenzie bought 3.0 new compact disks	yes
compact disks and 8.0 used compact disks	yes
compact disks for 133.89 dollars . Find	yes
initial deposit of 177.0 dollars . If	yes
wants to save 500.0 dollars during the	yes
during the next 19.0 weeks , how	yes
A weight of 80.0 pounds stretches a	yes
stretches a spring 4.5 inches . How	yes
a weight of 125.0 pounds stretch the	yes
correct answer adds 1.0 point to your	yes
incorrect answer subtracts 0.25 point . You	yes
. You answer 82.0 out of 85.0	yes
82.0 out of 85.0 questions for a	no
raw score of 67.0 . How many	yes
. There are 120.0 in the whole	yes
null There are 7066.0 known nesting pairs	yes
in the lower 48.0 states today .	no
. This is 6649.0 more pairs than	yes
pairs than in 1963.0 . How many	no
in the lower 48.0 states in 1963.0	no
48.0 states in 1963.0 ? null null	no
a bench cost 750.0 combined . The	yes
The sum of 5.0 and a number	yes
a number is 20.0 . Find the	yes
null null null 586.0 people attend a	yes
. Residents paid 12.95 dollars and non-residents	yes
and non-residents paid 17.95 dollars . If	yes
If Disney made 9423.7 dollars from ticket	yes
electrician together spend 90.0 hours working on	yes
the bricklayer earns 12.0 dollars per hour	yes
the electrician earns 16.0 dollars an hour	yes
a total of 1350.0 dollars for their	yes
the sale of 7400.0 tickets . If	yes
were sold for 20.0 dollars and 30.0	yes
20.0 dollars and 30.0 dollars each ,	yes
that sells for 9.0 dollars per pound	yes
that sells for 4.0 dollars per pound	yes
many pounds of 9.0 dollars coffee and	yes
many pounds of 4.0 dollars coffee must	yes
mixed to get 20.0 pounds of coffee	yes
that sells for 8.25 dollars per pound	yes
a rally was 750.0 people . Tickets	yes
the rally were 2.0 dollars each ,	yes
the door were 2.75 dollars each .	yes
total receipts were 1706.25 dollars ? How	yes
A farmhouse has 15.0 animals . Some	yes
Altogether there are 48.0 legs . How	yes
jumbo pumpkins for 9.0 dollars each ,	yes
regular pumpkins for 4.0 dollars each .	yes
. Peter sold 80.0 pumpkins and collected	yes
pumpkins and collected 395.0 dollars . How	yes
a total of 387.0 seats . The	yes
class seats is 2.0 more than 4.0	yes
2.0 more than 4.0 times the number	yes
two numbers is 40.0 , one number	yes
one number is 8.0 more than the	yes
, Jim bought 2.0 bags of bagels	yes
of bagels and 3.0 packages of cream	yes
cheese and paid 12.0 dollars . For	yes
, he bought 4.0 bags of bagels	yes
of bagels and 2.0 packages of cream	yes
cheese and paid 14.0 dollars . How	yes
null Jill has 3.5 dollars in nickels	yes
If she has 50.0 coins , how	yes
to fill a 55.0 gallon drum with	yes
drum with a 20.0 percent winter mixture	yes
many gallons of 100.0 percent antifreeze should	yes
mix with some 10.0 percent antifreeze mixture	yes
Rhapsody Theater sold 800.0 total tickets .	yes
advanced ticket costs 14.5 dollars and a	yes
the door costs 22.0 dollars . In	yes
a number equals 25.0 less than triple	yes
constant speed of 52.0 miles per hour	yes
constant speed of 58.0 miles per hour	yes
will they be 385.0 miles apart ?	yes
, part at 8.0 % and part	yes
and part at 7.0 % . If	yes
she invest at 8.0 % ? null	yes
the result is 9.0 . Find the	yes
The sum of 2.0 numbers is 64.0	no
2.0 numbers is 64.0 and their difference	yes
their difference is 18.0 . What is	yes
clothing store received 2.0 shipments of Fall	no
shipment which contained 10.0 identical sweaters and	yes
identical sweaters and 20.0 identical jackets was	yes
identical jackets was 800.0 dollars . The	yes
prices , contained 5.0 of the same	yes
same sweaters and 15.0 of the same	yes
second shipment was 550.0 dollars . Find	yes
the cost of 1.0 jacket , in	no
Caesar 's charges 800.0 dollars to rent	yes
the room and 30.0 dollars for each	yes
Venus Hall charges 500.0 dollars to rent	yes
the room and 35.0 dollars for each	yes
null null Separate 66.0 into 2.0 parts	yes
Separate 66.0 into 2.0 parts so that	no
parts so that 0.4 of one part	yes
one part exceeds 0.625 of the other	yes
other part by 10.0 . What is	yes
a total of 30.0 bins . Some	yes
. Some hold 20.0 tons of grain	yes
The rest hold 15.0 tons each .	yes
the warehouse is 510.0 tons ? How	yes
? How many 20.0 ton bins ?	yes
? How many 15.0 ton bins ?	yes
One number is 3.0 less than twice	yes
their sum is 39.0 , find the	yes
The product of 10.0 and a number	yes
the same as 36.0 less twice that	yes
piggy bank has 50.0 coins . The	yes
The bank has 4.55 dollars in total	yes
were sold at 4.0 dollars per adult	yes
per adult and 2.5 dollars per student	yes
student . If 240.0 tickets were sold	yes
a total of 765.0 dollars , how	yes
of lemonade for 1.25 dollars and large	yes
large cups for 2.5 dollars . If	yes
a total of 155.0 cups of lemonade	yes
a total of 265.0 dollars , how	yes
a total of 30.0 bins . Some	yes
. Some hold 20.0 tons of grain	yes
The rest hold 15.0 tons each .	yes
the warehouse is 510.0 tons . How	yes
. How many 20.0 ton bins are	yes
? How many 15.0 ton bins ?	yes
the rides are 0.75 dollars each ,	yes
an armband for 15.0 dollars and ride	yes
two numbers is 52.0 , and their	yes
their difference is 6.0 . What are	yes
school concert was 578.0 people . Admission	yes
. Admission cost 2.0 dollars for adults	yes
for adults and 1.5 dollars for children	yes
The receipts were 985.0 dollars . How	yes
in cartons holding 2.0 rackets each or	yes
in cartons holding 3.0 rackets each .	yes
slip showed that 38.0 cartons were used	yes
a total of 100.0 rackets . How	yes
many cartons of 2.0 rackets size were	yes
many cartons of 3.0 rackets size were	yes
null null null 24.0 is divided into	yes
parts such that 7.0 times the first	yes
part added to 5.0 times the second	yes
second part makes 146.0 . Find each	yes
a car is 10.0 % antifreeze .	yes
mixture should contain 50.0 % antifreeze .	yes
the radiator contains 4.0 gallons of fluid	yes
a mixture containing 80.0 % antifreeze ?	yes
null There are 2.0 numbers whose sum	no
whose sum is 65.0 , such that	yes
that one is 4.0 times as large	yes
sells thermometers for 2.0 dollars and hot-water	yes
hot-water bottles for 6.0 dollars . In	yes
two items was 1200.0 dollars . Customers	yes
. Customers bought 7.0 times as many	yes
a test worth 100.0 points containing 40.0	yes
100.0 points containing 40.0 questions . There	yes
A rancher raises 5.0 times as many	yes
If he has 168.0 animals , how	yes
null Jason earns 4.0 dollars per hour	yes
and he earns 6.0 dollars per hour	yes
If he works 18.0 hours in a	yes
week and earned 88.0 dollars , how	yes
null Sam has 30.0 nickels and dimes	yes
and dimes worth 2.4 dollars . How	yes
null Marc sold 563.0 tickets for the	yes
Student tickets cost 4.0 dollars and adult	yes
adult tickets cost 6.0 dollars . Marc	yes
's sales totaled 2840.0 dollars . How	yes
null David bought 3.0 hamburgers and 2.0	yes
3.0 hamburgers and 2.0 servings of french	yes
Drive Up for 6.25 dollars . If	yes
of fries costs 0.25 cents more then	yes
company has a 1.0 time product cost	no
per book is 8.25 dollars . The	yes
the store for 21.75 dollars . How	yes
The sum of 2.0 numbers is 24.0	no
2.0 numbers is 24.0 . Seven times	yes
the same as 5.0 times the larger	yes
batting average of 0.32 with 192.0 hits	no
of 0.32 with 192.0 hits in 600.0	yes
192.0 hits in 600.0 bats . His	yes
left-handed pitching is 0.25 . Against right-handed	yes
pitching it is 0.35 . How many	yes
class fund totaling 127.0 dollars to an	yes
class A is 7.0 dollars short of	yes
dollars short of 0.6667 of the amount	yes
two numbers is 73.0 . The second	yes
The second is 7.0 more than 5.0	yes
7.0 more than 5.0 times the first	yes
. There are 2.0 strengths of white	no
white vinegar, a 5.0 % solution and	yes
solution and a 10.0 % solution .	yes
milliliters of the 5.0 % solution and	yes
mix to make 50.0 milliliters of a	yes
milliliters of a 9.0 % vinegar solution	yes
two numbers is 18.0 . If twice	yes
smaller number is 6.0 more than the	yes
null Tickets cost 4.0 dollars for students	yes
students , and 6.0 dollars for general	yes
. You sell 525.0 tickets and collect	yes
tickets and collect 2876.0 dollars . How	yes
A hotel purchased 38.0 bath towels and	yes
bath towels and 61.0 washcloths for a	yes
total cost of 791.5 dollars . A	yes
second purchase of 54.0 bath towels and	yes
bath towels and 50.0 washcloths , at	yes
prices , cost 923.0 dollars . Find	yes
a test of 30.0 problems . Each	yes
problem is worth 3.0 points . Each	yes
problem is worth 5.0 points . The	yes
the test is 110.0 points . How	yes
Adult tickets cost 5.0 dollars and children	yes
's tickets cost 3.0 dollars . You	yes
. You sell 1510.0 tickets and collect	yes
tickets and collect 6138.0 dollars . Determine	yes
whose sum is 45.0 and such that	yes
that one is 4.0 times as large	yes
University Theater sold 510.0 tickets for a	yes
. Tickets cost 21.0 dollars per adult	yes
per adult and 15.0 dollars per senior	yes
total receipts were 8748.0 dollars , how	yes
whose sum is 14.0 if one number	yes
one number is 3.0 times as large	yes
Community Barbecue served 250.0 dinners . A	yes
's plate cost 3.5 dollars and an	yes
's plate cost 7.0 dollars . A	yes
A total of 1347.5 dollars was collected	yes
's salary is 1250.0 dollars a month	yes
month plus a 5.0 % commission on	yes
earn at least 1500.0 dollars each month	yes
null null A 40.0 % sugar solution	yes
added to an 85.0 % sugar solution	yes
solution to create 1800.0 milliliters of a	yes
milliliters of a 60.0 % solution .	yes
milliliters of the 40.0 % solution should	yes
millileters of the 85.0 % solution ?	yes
The sum of 0.75 of a number	yes
null null null 7.0 less than 4.0	yes
7.0 less than 4.0 times a number	yes
a number equals 13.0 . What is	yes
null Paul has 30.0 postcards . He	yes
. He has 4.0 times as many	yes
Student tickets cost 4.0 dollars and general	yes
admission tickets cost 6.0 dollars . You	yes
. You sell 525.0 tickets and collect	yes
tickets and collect 2876.0 dollars . How	yes
flax on his 240.0 acre farm .	yes
wants to plant 80.0 more acres of	yes
the money at 7.0 % and the	yes
the rest at 9.0 % . He	yes
a total of 970.0 dollars in interest	yes
was invested at 7.0 % ? null	yes
oldest bride was 19.0 yr older than	yes
their ages totaled 185.0 years . How	yes
that will host 764.0 people . When	yes
tables they need 2.0 forks for each	yes
each child and 5.0 forks for each	yes
a total of 2992.0 forks , how	yes
an average of 30.0 miles per gallon	yes
second car gets 25.0 miles per gallon	yes
a total of 1700.0 miles in that	yes
gas consumption of 60.0 gallons . How	yes
family there are 2.0 cars . The	no
particular week is 45.0 . The first	yes
car has consumed 40.0 gallons during that	yes
car has consumed 20.0 gallons , for	yes
a total of 1400.0 miles driven by	yes
each of the 2.0 cars that week	no
set by the 1906.0 Chicago Cubs for	no
The Mainers won 24.0 more than twice	yes
. They played 162.0 regular season games	yes
his height is 41.5 inches . At	yes
the child was 38.5 inches tall .	yes
's tickets for 4.0 dollars and adult	yes
adult tickets for 7.0 dollars . One	yes
. One night 575.0 tickets worth 3575.0	yes
575.0 tickets worth 3575.0 dollars were sold	yes
a cork cost 2.1 dollars . A	yes
a cork costs 2.0 dollars more than	yes
A total of 366.0 tickets were sold	yes
average speed of 2.0 miles per hour	yes
average speed was 3.0 miles per hour	yes
a bottle of 7.0 % hydrogen peroxide	yes
a bottle of 4.0 % hydrogen peroxide	yes
The cosmetologist needs 300.0 milliliters of a	yes
milliliters of a 5.0 % hydrogen peroxide	yes
. He has 125.0 cards total .	yes
their sum is 96.0 . Find the	yes
a test worth 200.0 points . There	yes
a total of 30.0 5-point and 10-point	yes
